"","text"
"142","RT @WxShaw: #cavs #WhateverItTakes https://t.co/v9iWp0QS3i"
"143","RT @cavs: Buckets x3. https://t.co/8yvkOrW1Xu"
"144","RT @NBA: LeBron James gets to his spot!

@cavs in control on @NBAonTNT

#WhateverItTakes https://t.co/7XTxrPq9MD"
"145","RT @OhioStateFB: mood

go get that sweep @cavs

#WhateverItTakes https://t.co/Zwm7BKAwkQ"
"146","RT @cavs: Ì†ΩÌ≤Ø

Ì†ΩÌ≥ä: https://t.co/ADV7HTvD90
Ì†ΩÌ≥∏: https://t.co/wpWBxE10T7

#WhateverItTakes https://t.co/P3O6Jns4xn"
"147","@Drake in the words of the homie @Acehood 

‚ÄúSame ole shit, just a different day‚Äù @KingJames out here getting it, e‚Ä¶ https://t.co/7KxdgfSCGk"
"148","Complete domination! @cavs @kevinlove @KingJames #WhateverItTakes #NBA"
"149","RT @ChaseRuttig: This dork really believes the Cavs will be NINE AND OH GOING INTO GAME 2 OF THE EASTERN CONFERENCE FINALS. https://t.co/vM‚Ä¶"
"150","RT @cavs: LEBRON. JAMES. #WhateverItTakes https://t.co/5JBmeBhQLc"
"151","@Drake God‚Äôs Plan ... #Cavs"
"152","fire the raptors coach asap dwane casey should get fired and fined by the nba for really smoking it against the cavs"
"153","RT @christinelam: Siakam's wide open alley oop missed dunk pretty much describes this entire Raptors/Cavs series"
"154","RT @Jared_Wade: LeBron still in the game just to avoid talking to these other Cavs who won‚Äôt shut up when he‚Äôs on the bench."
"155","All hail @KingJames King of the North #Cavs #wethenorth https://t.co/a14n62FDhL"
"156","@NBADraftAddict @RjBarrett6 It‚Äôs like they watched no film from the Pacers/Cavs series. Also this team needs a leader, bring in a 3rd Star"
"157","RT @RealSkipBayless: The Cavs will sweep the Raptors."
"158","Kyle Lowry and DeMar DeRozan have already given up the match against Cavs even before it's finished.

#CavsvsRaptors #LeBronto"
"159","@KFILE It‚Äôs the Cavs not the Browns"
"160","RT @CavsFredMcLeod: .@Cavs with their 2nd 37 point 3rd Q of the series...up 100-72..shooting 64%"
"161","RT @_whosane: Is this your number 1 seed?  

#Cavs #Bronsplan https://t.co/D4L192LBjE"
"162","RT @cavs: LEBRON. JAMES. #WhateverItTakes https://t.co/5JBmeBhQLc"
"163","@Datsoccerboii @cavs You late"
"164","Cavs x Raptors #NBA https://t.co/kOnCFWvyJ3"
"165","Dommage, mais les #Raptors se feront balayer par les #Cavs. #NBAPlayoffs"
"166","RT @cavs: LEBRON. JAMES. #WhateverItTakes https://t.co/5JBmeBhQLc"
"167","Damn I wish @KyrieIrving knee was straight the conference finals between the Celtics and Cavs was going to be legen‚Ä¶ https://t.co/B65TlGHC6I"
"168","RT @NBA: LeBron James gets to his spot!

@cavs in control on @NBAonTNT

#WhateverItTakes https://t.co/7XTxrPq9MD"
"169","Cavs should let them get like within 12 to give them hope"
"170","Still don‚Äôt think the Cavs can beat Golden State though."
"171","RT @HeatvsHaters: Seriously, how deflating is this:
First, You get swept by LeBron &amp; Cavs

Next season, you get a franchise record in wins.‚Ä¶"
"172","RT @Plez_CHill: @52Mack_ Ì†æÌ¥¶Ì†ºÌøæ‚Äç‚ôÄÔ∏èbruh get your mind right. Spurs (2x) mavs, warriors that's 4... won with Miami (2x) and Cavs that's 3"
"173","@jdBEASTMODE I don‚Äôt care if the Cavs are up 50 I need Osman off the court"
"174","Alright, go head and take Bron out now. Cavs up by a 30-piece is enough humiliation."
"175","DeMar DeRozan ejected in the 3rd Quarter, LeBron James sweeps the Toronto Raptors. The Cavs move on to the Eastern‚Ä¶ https://t.co/Z2pC6Uwj95"
"176","RT @Jason_toronto: @MartyYork Mr. York- you were one of the few people that was correct. The Fake News Toronto Homer Media, brainwashed the‚Ä¶"
"177","The Cavs are playing pretty basketball. flawless execution and Lebron is lights out."
"178","@Filthy_Hooper3 He going to the cavs or warriors next year Ì†ΩÌ∏Ç"
"179","RT @Bottlegate: Cavs coming out like they all saw that SNL skit"
"180","30pt deficit for the the Raptors. Just shows that the Cavs wanted it more."
"181","I originally said Cavs in 5 Ì†æÌ¥¶Ì†ºÌøø‚Äç‚ôÇÔ∏è"
"182","@dgiff__ Cavs not making it out the east.."
"183","RT @cavs: LEBRON. JAMES. #WhateverItTakes https://t.co/5JBmeBhQLc"
"184","@JWalsh483 @rosskre @cavs He was being pressed against"
"185","RT @mcten: One year ago today, DeMar DeRozan said ""if we had LeBron on our team, we would have won,"" after the Cavs swept Toronto. Tonight,‚Ä¶"
"186","RT @FearTheSword: Cavs considering adjusting rotation, Cedi Osman and Jose Calderon could get minutes (@cwmwrites) https://t.co/ikGNVBP86L‚Ä¶"
"187","@ZoD4WG because raptors were the #1 seed in the east for most of the regular season. the cavs defense is ranked clo‚Ä¶ https://t.co/orgExyICOl"
"188","RT @Raptors: Dear @cavs,

Worst @nbcsnl skit we've ever seen.

Y'all can chill out now, cool? https://t.co/RwxlOdDPrP"
"189","RT @NBA: LeBron James gets to his spot!

@cavs in control on @NBAonTNT

#WhateverItTakes https://t.co/7XTxrPq9MD"
"190","Sooooooooo the @pacers took the Cavs to 7 games, you mean to tell me the #1 seed @Raptors can't win 1 fucking game‚Ä¶ https://t.co/lYTQLbdd49"
"191","RT @cavs: LEBRON. JAMES. #WhateverItTakes https://t.co/5JBmeBhQLc"
"192","@ASAP___ROBBY @shammgod7 Cavs in -3"
"193","RT @cavs: LEBRON. JAMES. #WhateverItTakes https://t.co/5JBmeBhQLc"
"194","Cavs lead Raptors 110-80 with under 8 minutes to play. Timeout Cavs. 

Here comes the Cavalier JV squad."
"195","Flagrant 2... a little much, however the Raptors had already given up. This game proves that rankings don‚Äôt matter‚Ä¶ https://t.co/ixm41xn9S6"
"196","Wizards would‚Äôve been a better matchup for the Cavs they probably still would‚Äôve lost but they would‚Äôve gotten at least two games out of em"
"197","Just w√∏ke up to the Cavs c√∏√∏kin the baby din√∏saurs #CavsNation"
"198","RT @choppagrizz: Quand je disais les Cavs vont sweeper les Raptors ont se foutaient de ma gueule aujourd‚Äôhui y a 3-0 pour les Cavs et ils o‚Ä¶"
"199","RT @LBJ23_Fan: Throwback to this gem of a quote from LeBron. 

I don‚Äôt think those reporters took him seriously, but the #4 seed Cavs just‚Ä¶"
"200","this is oc #Cavs #Lebronto https://t.co/XBCLSS0LEo"
"201","Credit where credit‚Äôs due - I saw a Skip Bayless tweet a week ago calling a Cavs sweep"
"202","RT @cavs: Ì†ΩÌ≤Ø

Ì†ΩÌ≥ä: https://t.co/ADV7HTvD90
Ì†ΩÌ≥∏: https://t.co/wpWBxE10T7

#WhateverItTakes https://t.co/P3O6Jns4xn"
"203","Cavs did a sweepÌ†ΩÌ∑£Ì†ΩÌ∏≠"
"204","If you picked Toronto to beat the Cavs...I can't trust you"
"205","RT @TeamLeBronPR: #PointForward Ì†ΩÌ±ëhttps://t.co/sZmG3NQcIv"
"206","RT @Olaolu_D: These guys haven‚Äôt won one game against Cavs in the postseason since 2016. One game. 2016!"
"207","√â o cavs na final da confer√™ncia porraaaa"
"208","I really can just go to sleep lmao. The Cavs won."
"209","cavs is smashing the raptors cheeks to smithereens"
"210","RT @Anderson_stify: Non mais les @Raptors  vont se faire sweeper par les @cavs alors qu'ils se croyaient favoris ptdrrrrrrrrrr"
"211","RT @WxShaw: #cavs #WhateverItTakes https://t.co/v9iWp0QS3i"
"212","Okaro White on the Cavs. No wonder they started winning"
"213","me: tits out cavs in four
cody: where the fuck was that for the bucks"
"214","Couple weeks ago all‚Äôs I heard was ‚ÄúLeBron and the Cavs are in trouble‚Äù... That was a good joke."
"215","RT @cavs: LEBRON. JAMES. #WhateverItTakes https://t.co/5JBmeBhQLc"
"216","RT @DavidsonDrew: Come on Cavs, they have families!!!

JK, I wanna see 140."
"217","lezzgo! lezzgo!!! https://t.co/DZUwsl9r0W"
"218","RT @ScottCacciola: If I'm the Cavs, I put the Roomba in for the final 8 minutes."
"219","RT @mcten: One year ago today, DeMar DeRozan said ""if we had LeBron on our team, we would have won,"" after the Cavs swept Toronto. Tonight,‚Ä¶"
"220","RT @OhioStateFB: mood

go get that sweep @cavs

#WhateverItTakes https://t.co/Zwm7BKAwkQ"
"221","@ShannonSharpe Let see if you would be this hype in The Finals? I going to give you that The Cavs will be in The Finals..."
"222","Cavs up by a zillion, why is Bron still in the game with 8 mins left? #cavsvsraptors #NBAPlayoffs2018"
"223","Dear @hughhewitt : I know it is foolish, but I am rooting for the @cavs , because of Charles, King and Martyr."
"224","If i was kyle Lowry I‚Äôd just join the Cavs already"
"225","@JoshAllanMurray If the Cavs and Toronto meet again next year - Toronto is taking it Ì†ΩÌ≤Ø. Bet ya?"
"226","Cavs in 4Ì†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏Ç"
"227","RT @CavsNotes: All five @cavs starters have reached double figures in points so far tonight: @TheRealJRSmith- 15 PTS, @KingJames- 21 PTS, @‚Ä¶"
"228","RT @mcten: One year ago today, DeMar DeRozan said ""if we had LeBron on our team, we would have won,"" after the Cavs swept Toronto. Tonight,‚Ä¶"
"229","RT @Rocko_Balboa: The Cavs are up by 30 against the number one seed..."
"230","Lol like golden st. care about the regular season &amp; like Golden St. won‚Äôt embarrass the Cavs Ì†æÌ¥∑Ì†ºÌøæ‚Äç‚ôÇÔ∏èÌ†ΩÌ∏Ç #DubNation https://t.co/heSQ8rBYS8"
"231","I love watching the playoffs, and obviously I'm a Cavs fan, but @DeMar_DeRozan definitely didn't deserve a flagrant‚Ä¶ https://t.co/35xY6pKWwq"
"232","RT @cavs: LEBRON. JAMES. #WhateverItTakes https://t.co/5JBmeBhQLc"
